player_id,sleeper_id,player_name,position,team,adp,canonical_format,source,adp_source_field,retrieved_at,beatadp_player_id,fantasycalc_rank,beatadp_recorded_at,normalized_name,pos_rank
12489,12489,RJ Harvey,RB,DEN,80.9,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,197,,2026-08-15,rj harvey,27
5967,5967,Tony Pollard,RB,TEN,82.8,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,350,,2026-08-15,tony pollard,28
13294,13294,Makai Lemon,WR,PHI,83.1,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,941,,2026-08-15,makai lemon,33
7021,7021,Rico Dowdle,RB,PIT,84.6,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,360,,2026-08-15,rico dowdle,29
12534,12534,Kyle Monangai,RB,CHI,85.3,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,716,,2026-08-15,kyle monangai,30
5045,5045,Courtland Sutton,WR,DEN,86.5,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,273,,2026-08-15,courtland sutton,34
6806,6806,J.K. Dobbins,RB,DEN,87.2,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,20,,2026-08-15,j k dobbins,31
10232,10232,Michael Wilson,WR,ARI,88.2,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,495,,2026-08-15,michael wilson,35
8142,8142,Alec Pierce,WR,IND,89.8,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,572,,2026-08-15,alec pierce,36
3294,3294,Dak Prescott,QB,DAL,89.9,1qb_half_ppr,BeatADP Sleeper ADP,SLEEPER|HALF_PPR|REDRAFT|1QB,2026-08-19T04:34:26.895750+00:00,429,,2026-08-15,dak prescott,9
