player_id,sleeper_id,player_name,position,team,adp,overall_rank,position_rank_market,canonical_format,source,adp_source_field,retrieved_at,normalized_name,pos_rank
7567,7567,Kenny Gainwell,RB,TB,105.0,105.0,36.0,1qb_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.340140+00:00,kenny gainwell,36
11583,11583,Jonathon Brooks,RB,CAR,106.0,106.0,37.0,1qb_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.340143+00:00,jonathon brooks,37
5045,5045,Courtland Sutton,WR,DEN,107.0,107.0,43.0,1qb_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.340145+00:00,courtland sutton,43
12545,12545,Tyler Shough,QB,NO,108.0,108.0,18.0,1qb_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.340148+00:00,tyler shough,18
8110,8110,Jake Ferguson,TE,DAL,109.0,109.0,11.0,1qb_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.340151+00:00,jake ferguson,11
4037,4037,Chris Godwin,WR,TB,110.0,110.0,44.0,1qb_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.340154+00:00,chris godwin,44
12533,12533,Jacory Croskey-Merritt,RB,WAS,111.0,111.0,38.0,1qb_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.340156+00:00,jacory croskey merritt,38
9756,9756,Jordan Addison,WR,MIN,112.0,112.0,45.0,1qb_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.340159+00:00,jordan addison,45
4199,4199,Aaron Jones,RB,MIN,113.0,113.0,39.0,1qb_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.340161+00:00,aaron jones,39
8408,8408,Jordan Mason,RB,MIN,114.0,114.0,40.0,1qb_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.340164+00:00,jordan mason,40
3163,3163,Jared Goff,QB,DET,115.0,115.0,19.0,1qb_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.340166+00:00,jared goff,19
8126,8126,Wan'Dale Robinson,WR,TEN,116.0,116.0,46.0,1qb_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.340169+00:00,wan dale robinson,46
9754,9754,Quentin Johnston,WR,LAC,117.0,117.0,47.0,1qb_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.340171+00:00,quentin johnston,47
5012,5012,Mark Andrews,TE,BAL,118.0,118.0,12.0,1qb_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.340174+00:00,mark andrews,12
8131,8131,Isaiah Likely,TE,NYG,119.0,119.0,13.0,1qb_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.340176+00:00,isaiah likely,13
8136,8136,Rachaad White,RB,WAS,120.0,120.0,41.0,1qb_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.340178+00:00,rachaad white,41
5849,5849,Kyler Murray,QB,MIN,121.0,121.0,20.0,1qb_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.340181+00:00,kyler murray,20
13298,13298,KC Concepcion,WR,CLE,122.0,122.0,48.0,1qb_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.340183+00:00,kc concepcion,48
5872,5872,Deebo Samuel,WR,,123.0,123.0,49.0,1qb_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.340186+00:00,deebo samuel,49
12501,12501,Matthew Golden,WR,GB,124.0,124.0,50.0,1qb_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.340188+00:00,matthew golden,50
11646,11646,Jalen Coker,WR,CAR,125.0,125.0,51.0,1qb_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.340190+00:00,jalen coker,51
5947,5947,Jakobi Meyers,WR,JAX,126.0,126.0,52.0,1qb_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.340193+00:00,jakobi meyers,52
10236,10236,Dalton Kincaid,TE,BUF,127.0,127.0,14.0,1qb_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.340195+00:00,dalton kincaid,14
9753,9753,Zach Charbonnet,RB,SEA,128.0,128.0,42.0,1qb_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.340198+00:00,zach charbonnet,42
5022,5022,Dallas Goedert,TE,PHI,129.0,129.0,15.0,1qb_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.340201+00:00,dallas goedert,15
13417,13417,De'Zhaun Stribling,WR,SF,130.0,130.0,53.0,1qb_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.340203+00:00,de zhaun stribling,53
11624,11624,Xavier Worthy,WR,KC,131.0,131.0,54.0,1qb_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.340206+00:00,xavier worthy,54
8134,8134,Khalil Shakir,WR,BUF,132.0,132.0,55.0,1qb_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.340209+00:00,khalil shakir,55
12522,12522,Cam Ward,QB,TEN,133.0,133.0,21.0,1qb_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.340212+00:00,cam ward,21
8121,8121,Romeo Doubs,WR,NE,134.0,134.0,56.0,1qb_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.340214+00:00,romeo doubs,56
9758,9758,C.J. Stroud,QB,HOU,135.0,135.0,22.0,1qb_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.340217+00:00,c j stroud,22
12484,12484,Jayden Higgins,WR,HOU,136.0,136.0,57.0,1qb_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.340220+00:00,jayden higgins,57
12493,12493,Oronde Gadsden,TE,LAC,137.0,137.0,16.0,1qb_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.340222+00:00,oronde gadsden,16
4943,4943,Sam Darnold,QB,SEA,138.0,138.0,23.0,1qb_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.340225+00:00,sam darnold,23
8210,8210,Chig Okonkwo,TE,WAS,139.0,139.0,17.0,1qb_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.340227+00:00,chig okonkwo,17
8132,8132,Tyler Allgeier,RB,ARI,140.0,140.0,43.0,1qb_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.340229+00:00,tyler allgeier,43
3214,3214,Hunter Henry,TE,NE,141.0,141.0,18.0,1qb_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.340232+00:00,hunter henry,18
10219,10219,Chris Rodriguez,RB,JAX,142.0,142.0,44.0,1qb_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.340234+00:00,chris rodriguez,44
9480,9480,Brenton Strange,TE,JAX,143.0,143.0,19.0,1qb_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.340237+00:00,brenton strange,19
11655,11655,Tyrone Tracy,RB,NYG,144.0,144.0,45.0,1qb_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.340239+00:00,tyrone tracy,45
8180,8180,Jalen Nailor,WR,LV,145.0,145.0,58.0,1qb_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.340243+00:00,jalen nailor,58
12530,12530,Travis Hunter,WR,JAX,146.0,146.0,59.0,1qb_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.340245+00:00,travis hunter,59
9228,9228,Bryce Young,QB,CAR,147.0,147.0,24.0,1qb_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.340248+00:00,bryce young,24
7002,7002,Juwan Johnson,TE,NO,148.0,148.0,20.0,1qb_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.340250+00:00,juwan johnson,20
12474,12474,Woody Marks,RB,HOU,149.0,149.0,46.0,1qb_ppr,FantasyCalc,overallRank,2026-08-19T03:01:47.340253+00:00,woody marks,46
